target,time_bjd,raw_flux,flux_err,session_id,is_real_data
TrES-5,2461269.887384259,0.9828448609982768,0.0025,session_01,False
TrES-5,2461269.891560707,0.9794711073780494,0.0025,session_01,False
TrES-5,2461269.8957371544,0.9828265264052575,0.0025,session_01,False
TrES-5,2461269.899913602,0.9856201743880566,0.0025,session_01,False
TrES-5,2461269.904090049,0.9951385960975174,0.0025,session_01,False
TrES-5,2461269.908266497,0.99431603301385,0.0025,session_01,False
TrES-5,2461269.9124429445,0.9928235319111117,0.0025,session_01,False
TrES-5,2461269.916619392,0.998469134504733,0.0025,session_01,False
TrES-5,2461269.9207958397,1.0016662911355916,0.0025,session_01,False
TrES-5,2461269.9249722874,1.003631492431828,0.0025,session_01,False
TrES-5,2461269.929148735,0.9992111286979662,0.0025,session_01,False
TrES-5,2461269.9333251826,1.0059588555731533,0.0025,session_01,False
TrES-5,2461269.93750163,1.0086142960855484,0.0025,session_01,False
TrES-5,2461269.9416780774,1.008188345543132,0.0025,session_01,False
TrES-5,2461269.945854525,1.00722301802389,0.0025,session_01,False
TrES-5,2461269.9500309727,1.0053006923960075,0.0025,session_01,False
TrES-5,2461269.9542074203,1.0090038230956886,0.0025,session_01,False
TrES-5,2461269.958383868,1.0095575094771665,0.0025,session_01,False
TrES-5,2461269.9625603156,1.010259749135135,0.0025,session_01,False
TrES-5,2461269.9667367633,1.0088126086750613,0.0025,session_01,False
TrES-5,2461269.9709132104,1.014701683494729,0.0025,session_01,False
TrES-5,2461269.975089658,1.01437073671114,0.0025,session_01,False
TrES-5,2461269.9792661057,1.0157376647803915,0.0025,session_01,False
TrES-5,2461269.9834425533,1.0119921572989055,0.0025,session_01,False
TrES-5,2461269.987619001,1.0159518209973686,0.0025,session_01,False
TrES-5,2461269.9917954486,1.0161839169066125,0.0025,session_01,False
TrES-5,2461269.995971896,1.016315562704149,0.0025,session_01,False
TrES-5,2461270.000148344,1.0067594867784588,0.0025,session_01,False
TrES-5,2461270.004324791,1.0180642441710948,0.0025,session_01,False
TrES-5,2461270.0085012387,1.017182258010041,0.0025,session_01,False
TrES-5,2461270.0126776863,1.0209378627005548,0.0025,session_01,False
TrES-5,2461270.016854134,1.019179673043126,0.0025,session_01,False
TrES-5,2461270.0210305816,1.019491935102217,0.0025,session_01,False
TrES-5,2461270.025207029,1.0173471384446933,0.0025,session_01,False
TrES-5,2461270.029383477,1.020313985734939,0.0025,session_01,False
TrES-5,2461270.0335599245,1.018783448848895,0.0025,session_01,False
TrES-5,2461270.0377363716,1.0203213379053138,0.0025,session_01,False
TrES-5,2461270.0419128193,1.0213684407840813,0.0025,session_01,False
TrES-5,2461270.046089267,1.0246428098048985,0.0025,session_01,False
